name,country_id
Australia,1
Bhutan,2
Burnei,3
Cambodia,4
China,5
Europe,6
Hong Kong,7
India,8
Indonesia,9
Japan,10
Korea,11
Laos,12
Malaysia,13
Maldives,14
Mauritius,15
Middle East,16
Mangolia,17
Myanmar,18
Nepal,19
New Zealand,20
Philippines,21
Singapore,22
Sri Lanka,23
Taiwan,24
Thailand,25
USA,26
Canada,27
West America,28
Vietnam,29
